# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cycles'
# Event count (approx.): 140998949241
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
    51.74%  cubrim   cubrim             [.] cubrim::cm2::CmModel::predict_bit
    21.99%  cubrim   cubrim             [.] cubrim::cm2::Ctr::upd
    12.40%  cubrim   cubrim             [.] cubrim::cm2::CmModel::update_bit
     2.08%  cubrim   cubrim             [.] cubrim::cm2::Match::end
     0.81%  cubrim   cubrim             [.] cubrim::cm2::CmModel::start_byte
     0.75%  cubrim   [kernel.kallsyms]  [k] clear_page_rep
     0.69%  cubrim   cubrim             [.] cubrim::cm2::cm2_decode
     0.66%  cubrim   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.46%  cubrim   [kernel.kallsyms]  [k] __handle_mm_fault
     0.42%  cubrim   [kernel.kallsyms]  [k] wp_page_copy
     0.36%  cubrim   [kernel.kallsyms]  [k] zap_pte_range
     0.32%  cubrim   [kernel.kallsyms]  [k] srso_safe_ret
     0.28%  cubrim   [kernel.kallsyms]  [k] __rcu_read_unlock
     0.27%  cubrim   [kernel.kallsyms]  [k] lru_gen_del_folio.constprop.0
     0.25%  cubrim   [kernel.kallsyms]  [k] handle_mm_fault
     0.23%  cubrim   [kernel.kallsyms]  [k] _raw_spin_lock
     0.20%  cubrim   [kernel.kallsyms]  [k] do_user_addr_fault
     0.20%  cubrim   [kernel.kallsyms]  [k] exc_page_fault
     0.20%  cubrim   [kernel.kallsyms]  [k] __free_one_page
     0.18%  cubrim   [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.18%  cubrim   [kernel.kallsyms]  [k] handle_pte_fault
     0.17%  cubrim   [kernel.kallsyms]  [k] rmqueue_bulk
     0.17%  cubrim   [kernel.kallsyms]  [k] lock_vma_under_rcu
     0.17%  cubrim   [kernel.kallsyms]  [k] __rcu_read_lock
     0.15%  cubrim   cubrim             [.] cubrim::cm2::CmModel::end_byte
     0.15%  cubrim   [kernel.kallsyms]  [k] __count_memcg_events
     0.13%  cubrim   [kernel.kallsyms]  [k] mas_walk
     0.11%  cubrim   [kernel.kallsyms]  [k] arch_exit_to_user_mode_prepare.isra.0
     0.11%  cubrim   [kernel.kallsyms]  [k] sync_regs
     0.10%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.10%  cubrim   [kernel.kallsyms]  [k] lru_add_fn
     0.10%  cubrim   [kernel.kallsyms]  [k] __lruvec_stat_mod_folio
     0.10%  cubrim   [kernel.kallsyms]  [k] error_entry
     0.10%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map
     0.10%  cubrim   [kernel.kallsyms]  [k] free_pcppages_bulk
     0.09%  cubrim   [kernel.kallsyms]  [k] __pte_offset_map_lock
     0.09%  cubrim   [kernel.kallsyms]  [k] lru_gen_add_folio
     0.09%  cubrim   [kernel.kallsyms]  [k] do_anonymous_page
     0.09%  cubrim   [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.08%  cubrim   [kernel.kallsyms]  [k] release_pages
     0.08%  cubrim   [kernel.kallsyms]  [k] __mem_cgroup_charge
     0.08%  cubrim   [kernel.kallsyms]  [k] __mod_lruvec_state
     0.08%  cubrim   [kernel.kallsyms]  [k] __alloc_pages
     0.08%  cubrim   [kernel.kallsyms]  [k] do_wp_page
     0.07%  cubrim   [kernel.kallsyms]  [k] get_page_from_freelist
     0.07%  cubrim   [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.07%  cubrim   [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.07%  cubrim   [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.07%  cubrim   [kernel.kallsyms]  [k] rmqueue
     0.07%  cubrim   [kernel.kallsyms]  [k] error_return
     0.06%  cubrim   [kernel.kallsyms]  [k] count_memcg_events.constprop.0
     0.06%  cubrim   [kernel.kallsyms]  [k] uncharge_folio
     0.06%  cubrim   [kernel.kallsyms]  [k] __rmqueue_pcplist
     0.06%  cubrim   [kernel.kallsyms]  [k] blk_cgroup_congested
     0.05%  cubrim   [kernel.kallsyms]  [k] folio_add_lru
     0.05%  cubrim   [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.05%  cubrim   [kernel.kallsyms]  [k] free_unref_page_list
     0.05%  cubrim   [kernel.kallsyms]  [k] vma_alloc_folio
     0.05%  cubrim   [kernel.kallsyms]  [k] pte_offset_map_nolock
     0.05%  cubrim   [kernel.kallsyms]  [k] down_read_trylock
     0.05%  cubrim   [kernel.kallsyms]  [k] folio_add_new_anon_rmap
