# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cycles'
# Event count (approx.): 263683053863
#
# Overhead  Command  Shared Object      Symbol                                   
# ........  .......  .................  .........................................
#
    60.15%  cubrim   cubrim             [.] cubrim::cm2::CmModel::predict_bit
    21.57%  cubrim   cubrim             [.] cubrim::cm2::Ctr::upd
    12.27%  cubrim   cubrim             [.] cubrim::cm2::CmModel::update_bit
     2.58%  cubrim   cubrim             [.] cubrim::cm2::Match::end
     1.67%  cubrim   cubrim             [.] cubrim::cm2::CmModel::start_byte
     0.82%  cubrim   cubrim             [.] cubrim::cm2::cm2_decode
     0.13%  cubrim   cubrim             [.] cubrim::cm2::CmModel::end_byte
     0.07%  cubrim   [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.03%  cubrim   [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.03%  cubrim   [kernel.kallsyms]  [k] native_read_msr
     0.03%  cubrim   [kernel.kallsyms]  [k] read_tsc
     0.02%  cubrim   [kernel.kallsyms]  [k] __const_udelay
     0.02%  cubrim   [kernel.kallsyms]  [k] native_write_msr
     0.02%  cubrim   [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.02%  cubrim   [kernel.kallsyms]  [k] x86_pmu_disable_all
     0.02%  cubrim   [kernel.kallsyms]  [k] timekeeping_advance
     0.02%  cubrim   [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  cubrim   [kernel.kallsyms]  [k] srso_safe_ret
     0.01%  cubrim   [kernel.kallsyms]  [k] tick_do_update_jiffies64
     0.01%  cubrim   [kernel.kallsyms]  [k] irq_enter_rcu
     0.01%  cubrim   [kernel.kallsyms]  [k] update_load_avg
     0.01%  cubrim   [kernel.kallsyms]  [k] account_user_time
     0.01%  cubrim   [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  cubrim   [kernel.kallsyms]  [k] delay_halt_mwaitx
     0.01%  cubrim   [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  cubrim   [kernel.kallsyms]  [k] clear_page_rep
     0.01%  cubrim   [kernel.kallsyms]  [k] sugov_update_single_freq
     0.01%  cubrim   [kernel.kallsyms]  [k] amd_pmu_addr_offset
     0.01%  cubrim   [kernel.kallsyms]  [k] scheduler_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] update_process_times
     0.01%  cubrim   [kernel.kallsyms]  [k] update_cfs_group
     0.01%  cubrim   [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  cubrim   [kernel.kallsyms]  [k] update_curr
     0.01%  cubrim   [kernel.kallsyms]  [k] ktime_get
     0.01%  cubrim   [kernel.kallsyms]  [k] wp_page_copy
     0.01%  cubrim   [kernel.kallsyms]  [k] exc_page_fault
     0.01%  cubrim   [kernel.kallsyms]  [k] __handle_mm_fault
     0.01%  cubrim   [kernel.kallsyms]  [k] perf_event_task_tick
     0.01%  cubrim   [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  cubrim   [kernel.kallsyms]  [k] sched_clock_cpu
